Gender,Year,Lost-time Claims,% of lost-time claims,Disabling injury claims,% of disabling injury claims,Occupational fatalities,% of occupational fatalities,People in employment (thousands),% in employment
Male,2011,16798,0.631,34932,0.69,119,0.967,1115,0.522
Female,2011,9441,0.355,14544,0.287,4,0.033,939,0.448
Other,2011,390,0.015,1146,0.023,na,na,na,na
Male,2012,16904,0.629,36542,0.694,137,0.945,1186,0.552
Female,2012,9923,0.369,15916,0.302,6,0.041,963,0.448
Other,2012,38,0.001,200,0.004,na,na,na,na
Male,2013,17071,0.629,37527,0.693,177,0.941,1216.9,0.55
Female,2013,10057,0.371,16460,0.304,11,0.059,994.2,0.45
Other,2013,6,0,153,0.003,0,0,na,na
Male,2014,na,na,na,na,na,na,na,na
Female,2014,na,na,na,na,na,na,na,na
Other,2014,na,na,na,na,na,na,na,na
Male,2015,15816,0.621,32274,0.673,120,0.96,1262.5,0.549
Female,2015,9649,0.379,15690,0.327,5,0.04,1038.7,0.451
Other,2015,na,na,7,0,na,na,na,na
Male,2016,13897,0.588,28668,0.644,136,0.944,1233.5,0.545
Female,2016,9750,0.412,15867,0.356,8,0.056,1030.2,0.455
Other,2016,2,0,8,0,na,na,na,na
Male,2017,15110,0.592,31612,0.647,158,0.952,1247.6,0.546
Female,2017,10432,0.408,17218,0.353,8,0.048,1039.4,0.454
Other,2017,na,na,4,0,na,na,na,na
Male,2018,16211,0.59,na,na,na,na,1264.7,0.543
Female,2018,11252,0.41,na,na,na,na,1066.3,0.457
Other,2018,na,na,na,na,na,na,na,na
Male,2019,16250,0.57,na,na,na,na,1262.2,0.54
Female,2019,11265,0.43,na,na,na,na,1066.3,0.46
Other,2019,na,na,na,na,na,na,na,na
Male,2020,13161,0.58,na,na,na,na,1151.2,na
Female,2020,9697,0.42,na,na,na,na,978.5,na
Other,2020,na,na,na,na,na,na,na,na
Male,2021,na,na,na,na,na,na,na,na
Female,2021,na,na,na,na,na,na,na,na
Other,2021,na,na,na,na,na,na,na,na
