Industry,Year,Person-Years,Lost-Time Claims,Lost-Time Claim Rate,Modified-Work Claims,Modified-work claims injury claim rate,Disabling Injury Claims,Disabling Injury Claim Rate,Fatalities,Fatality Rate
Agriculture and forestry,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN
"Business, personal and professional services",2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN
Construction and construction trade services,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN
"Manufacturing, processing and packaging",2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN
Mining and petroleum development,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN
"Public administration, education and health services",2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,NaN
"Transportation, communication and utilities",2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,NaN
Wholesale and retail,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN
Unspecified Sector,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN
Agriculture and forestry,2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN
"Business, personal and professional services",2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN
Construction and construction trade services,2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN
"Manufacturing, processing and packaging",2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN
Mining and petroleum development,2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN
"Public administration, education and health services",2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,NaN
"Transportation, communication and utilities",2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,NaN
Wholesale and retail,2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN
Unspecified Sector,2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN
Agriculture and forestry,2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN
"Business, personal and professional services",2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN
Construction and construction trade services,2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN
"Manufacturing, processing and packaging",2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN
Mining and petroleum development,2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN
"Public administration, education and health services",2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN
"Transportation, communication and utilities",2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN
Wholesale and retail,2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN
Unspecified Sector,2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN
Agriculture and forestry,2010,9814,237,2.41,167,1.70,301,3.07,4,0.04
"Business, personal and professional services",2010,322123,2876,0.89,3067,0.95,4351,1.35,6,0.00
Construction and construction trade services,2010,317886,4419,1.39,7701,2.42,9866,3.10,59,0.02
"Manufacturing, processing and packaging",2010,171448,2664,1.55,6180,3.60,7224,4.21,15,0.01
Mining and petroleum development,2010,155503,626,0.40,2241,1.44,2453,1.58,15,0.01
"Public administration, education and health services",2010,310342,6140,1.98,5141,1.66,8113,2.61,8,0.00
"Transportation, communication and utilities",2010,132882,2668,2.01,3206,2.41,4529,3.41,21,0.02
Wholesale and retail,2010,309357,4710,1.52,6977,2.26,8626,2.79,7,0.00
Agriculture and forestry,2011,11018,211,1.92,137,1.24,257,2.33,1,0.01
"Business, personal and professional services",2011,326786,3250,0.99,3530,1.08,5037,1.54,2,0.00
Construction and construction trade services,2011,349449,4621,1.32,7617,2.18,9884,2.83,55,0.02
"Manufacturing, processing and packaging",2011,181700,3047,1.68,7101,3.91,8253,4.54,16,0.01
Mining and petroleum development,2011,163077,767,0.47,2786,1.71,3031,1.86,10,0.01
"Public administration, education and health services",2011,313708,6716,2.14,5265,1.68,8805,2.81,14,0.00
"Transportation, communication and utilities",2011,127589,2953,2.31,3554,2.79,5039,3.95,15,0.01
Wholesale and retail,2011,319230,5061,1.59,7426,2.33,9212,2.89,7,0.00
Agriculture and forestry,2012,11683,212,1.81,194,1.66,305,2.61,2,0.02
"Business, personal and professional services",2012,351767,3401,0.97,3790,1.08,5380,1.53,7,0.00
Construction and construction trade services,2012,377918,4865,1.29,8963,2.37,10938,2.89,42,0.01
